Lags,ALL,,,,,,,WARM,,,,,,,COLD,,,,,,
Day,AirPoll,Beta,SE,Pvalue,RR,Low95%RR,Uper95%RR,AirPoll,Beta,SE,Pvalue,RR,Low95%RR,Uper95%RR,AirPoll,Beta,SE,Pvalue,RR,LowRR,UperRR
0,PM25,3.45E-06,0.000583192,0.9952769,1.000022441,0.992619948,1.00748014,PM25,-0.001147835,0.000616719,0.062805493,0.992566839,0.9847988,1.000396153,PM25,0.000913087,0.000558436,0.102127747,1.005952711,0.998821291,1.013135049
1,PM25,-0.000194323,0.000582033,0.738499815,0.9987377,0.991359351,1.006170965,PM25,5.99E-05,0.000610095,0.9217797,1.000389498,0.992644004,1.008195429,PM25,-0.000529416,0.000562572,0.346741821,0.996564713,0.989447701,1.003732918
2,PM25,3.83E-05,0.000581185,0.9474959,1.000248818,0.99287003,1.007682444,PM25,-0.000879411,0.000607062,0.147534458,0.994300133,0.98663991,1.00201983,PM25,0.000765686,0.000562173,0.173287076,1.004989367,0.997817265,1.01221302
3,PM25,-0.000506455,0.000580632,0.383137092,0.996713457,0.989367718,1.004113736,PM25,-0.000540933,0.000605634,0.371832255,0.99649011,0.988831004,1.004208541,PM25,-0.000548853,0.000562542,0.32930226,0.996438813,0.989323074,1.003605732
4,PM25,0.000409084,0.000576792,0.478225555,1.002662586,0.995321695,1.010057619,PM25,0.000360494,0.000600357,0.548237289,1.002345958,0.994708706,1.010041849,PM25,0.000438108,0.000558237,0.432623662,1.002851761,0.995744838,1.010009408
5,PM25,0.000536653,0.000575295,0.350976023,1.003494334,0.996166349,1.010876224,PM25,5.15E-05,0.000600718,0.931684,1.000334814,0.992708326,1.008019893,PM25,0.000934153,0.000553922,0.091806853,1.006090464,0.999015515,1.013215518
6,PM25,4.65E-05,0.000573761,0.9354462,1.000302134,0.993016868,1.007640848,PM25,-0.000228856,0.000601324,0.703534691,0.998513543,0.990893288,1.0061924,PM25,0.000259787,0.000550964,0.637305112,1.001690043,0.994683516,1.008745925
7,PM25,5.02E-05,0.000576301,0.9305538,1.000326531,0.993008955,1.007698032,PM25,0.000600452,0.000605753,0.3216372,1.003910563,0.996192908,1.011688008,PM25,-0.000415578,0.0005514,0.451096813,0.997302389,0.990321052,1.004332942
8,PM25,-0.000264347,0.000574297,0.645333289,0.998283219,0.991005898,1.005613981,PM25,0.000920922,0.000603447,0.127080548,1.006003942,0.998299524,1.013767819,PM25,-0.001194622,0.000549202,0.029686473,0.992265027,0.985346546,0.999232085
9,PM25,-0.00023013,0.00057457,0.688795234,0.998505273,0.991222883,1.005841166,PM25,0.001787314,0.000605413,0.003177287,1.011685287,1.003912208,1.019518552,PM25,-0.001849826,0.000547399,0.000735172,0.988048128,0.981181582,0.994962727
10,PM25,3.47E-05,0.000577151,0.9520821,1.000225478,0.992897893,1.007607141,PM25,0.001364282,0.000610859,0.025590854,1.008907266,1.001086072,1.016789565,PM25,-0.001024138,0.000548927,0.062170941,0.993365214,0.986442524,1.000336486
11,PM25,-0.000198849,0.000576191,0.73003481,0.99870832,0.991403968,1.006066488,PM25,-0.000340574,0.000611023,0.577303367,0.997788715,0.990051644,1.00558625,PM25,-0.000121798,0.000546392,0.823616551,0.999208625,0.992277256,1.006188412
12,PM25,0.000935155,0.000575828,0.104468169,1.006097018,0.998743243,1.01350494,PM25,0.001959135,0.000609824,0.001327998,1.012815802,1.004977562,1.020715177,PM25,6.19E-05,0.000546268,0.9098375,1.000402211,0.993464126,1.007388748
13,PM25,0.00092202,0.000574341,0.108512292,1.006011124,0.998676902,1.013399208,PM25,0.00140088,0.000608002,0.021280749,1.009147301,1.001360699,1.016994451,PM25,0.000414264,0.000546074,0.44813307,1.002696344,0.995744809,1.009696409
14,PM25,0.000412108,0.000576254,0.474567672,1.002682292,0.995348075,1.010070551,PM25,0.000168668,0.000609542,0.782018753,1.00109694,0.993352966,1.008901284,PM25,0.000452674,0.000548,0.408837335,1.002946715,0.995969004,1.009973313
